iter	Passed	Remaining
455	758	7559
456	760	7555
457	761	7552
458	762	7548
459	764	7543
460	765	7539
461	767	7534
462	768	7529
463	769	7526
464	772	7529
465	773	7524
466	774	7521
467	776	7516
468	778	7518
469	779	7515
470	781	7512
471	782	7509
472	784	7504
473	785	7500
474	787	7499
475	788	7496
476	790	7492
477	791	7487
478	792	7482
479	794	7479
480	795	7474
481	797	7471
482	798	7466
483	799	7462
484	801	7457
485	802	7454
486	804	7451
487	805	7448
488	807	7445
489	808	7440
490	809	7437
491	811	7433
492	812	7431
493	814	7428
494	815	7424
495	817	7420
496	819	7422
497	821	7425
498	822	7422
499	824	7418
500	825	7414
501	827	7411
502	828	7407
503	829	7403
504	831	7400
505	833	7398
506	835	7400
507	836	7397
508	838	7394
509	839	7392
510	841	7389
511	842	7386
512	844	7383
513	845	7379
514	846	7376
515	848	7372
516	849	7368
517	851	7365
518	852	7363
519	854	7359
520	855	7355
521	857	7351
522	858	7348
523	860	7347
524	861	7345
525	863	7341
526	864	7336
527	865	7334
528	867	7330
529	869	7330
530	870	7327
531	871	7322
532	873	7318
533	874	7314
534	876	7313
535	877	7310
536	879	7306
537	880	7303
538	882	7300
539	883	7296
540	885	7300
541	887	7296
542	888	7293
543	890	7290
544	891	7287
545	892	7283
546	894	7281
547	896	7279
548	897	7276
549	898	7273
550	900	7270
551	902	7268
552	903	7264
553	904	7262
554	906	7259
555	907	7255
556	909	7251
557	910	7249
558	911	7245
559	913	7242
560	915	7241
561	916	7238
562	918	7239
563	920	7238
564	921	7235
565	923	7231
566	924	7229
567	926	7226
568	927	7224
569	929	7221
570	930	7217
571	931	7214
572	932	7206
573	935	7210
574	936	7208
575	938	7210
576	941	7214
577	942	7213
578	944	7211
579	945	7208
580	947	7205
581	948	7202
582	950	7200
583	951	7197
584	953	7194
585	954	7189
586	955	7186
587	957	7187
588	959	7186
589	960	7182
590	962	7179
591	963	7176
592	965	7173
593	967	7173
594	968	7171
595	970	7168
596	971	7165
597	972	7161
598	974	7158
599	975	7156
600	977	7152
601	978	7149
602	980	7146
603	981	7145
604	983	7144
605	985	7142
606	986	7139
607	987	7136
608	989	7133
609	990	7130
610	992	7128
611	993	7126
612	995	7123
613	996	7119
614	998	7116
615	999	7114
616	1001	7111
617	1002	7109
618	1003	7102
619	1004	7099
620	1006	7096
621	1008	7095
622	1009	7094
623	1011	7090
624	1012	7088
625	1014	7085
626	1015	7085
627	1018	7087
628	1019	7084
629	1020	7081
630	1022	7077
631	1024	7081
632	1027	7085
633	1028	7083
634	1029	7080
635	1031	7078
636	1032	7075
637	1034	7071
638	1035	7067
639	1037	7064
640	1039	7066
641	1040	7062
642	1041	7059
643	1043	7056
644	1044	7053
645	1046	7051
646	1048	7053
647	1050	7054
648	1052	7058
649	1056	7070
650	1057	7066
651	1059	7064
652	1061	7066
653	1062	7063
654	1064	7064
655	1066	7063
656	1069	7069
657	1070	7066
658	1073	7068
659	1074	7068
660	1077	7070
661	1078	7067
662	1080	7069
663	1082	7069
664	1084	7066
665	1085	7063
666	1086	7061
667	1088	7058
668	1089	7056
669	1091	7053
670	1092	7051
671	1094	7049
672	1096	7046
673	1097	7041
674	1099	7041
675	1100	7039
676	1101	7036
677	1104	7038
678	1105	7036
679	1107	7034
680	1108	7031
681	1110	7031
682	1112	7029
683	1114	7029
684	1115	7027
685	1117	7025
686	1118	7022
687	1120	7021
688	1121	7019
689	1123	7017
690	1124	7014
691	1126	7011
692	1127	7009
693	1129	7007
694	1131	7008
695	1133	7009
696	1134	7006
697	1136	7004
698	1137	7001
699	1139	7000
700	1141	6997
701	1142	6994
702	1143	6990
703	1145	6987
704	1146	6984
705	1147	6982
706	1149	6978
707	1150	6975
708	1151	6971
709	1153	6969
710	1154	6966
711	1156	6964
712	1158	6962
713	1159	6960
714	1160	6956
715	1162	6955
716	1164	6954
717	1165	6951
718	1166	6947
719	1168	6945
720	1169	6942
721	1171	6939
722	1172	6937
723	1173	6933
724	1175	6930
725	1176	6927
726	1178	6924
727	1179	6922
728	1181	6920
729	1182	6917
730	1184	6917
731	1186	6915
732	1187	6913
733	1189	6911
734	1190	6909
735	1192	6906
736	1193	6902
737	1194	6900
738	1196	6901
739	1198	6897
740	1199	6894
741	1201	6892
742	1202	6889
743	1204	6887
744	1206	6888
745	1207	6885
746	1208	6882
747	1210	6880
748	1212	6879
749	1213	6876
750	1215	6874
751	1216	6872
752	1217	6868
753	1219	6866
754	1221	6865
755	1222	6862
756	1223	6859
757	1225	6856
758	1226	6854
759	1228	6855
760	1230	6854
761	1231	6851
762	1233	6848
763	1234	6846
764	1236	6843
765	1237	6842
766	1239	6840
767	1240	6837
768	1242	6834
769	1243	6833
770	1245	6830
771	1246	6827
772	1248	6824
773	1249	6822
774	1250	6819
775	1252	6818
776	1254	6816
777	1255	6814
778	1257	6811
779	1259	6812
780	1260	6811
781	1262	6809
782	1263	6805
783	1265	6803
784	1266	6799
785	1267	6797
786	1269	6794
787	1270	6792
788	1272	6790
789	1273	6787
790	1275	6785
791	1276	6782
792	1278	6780
793	1280	6781
794	1281	6778
795	1283	6776
796	1284	6773
797	1286	6772
798	1288	6777
799	1290	6774
800	1291	6771
801	1293	6770
802	1294	6766
803	1296	6763
804	1297	6763
805	1299	6760
806	1300	6758
807	1302	6755
808	1303	6753
809	1305	6750
810	1306	6748
811	1307	6744
812	1309	6742
813	1310	6740
814	1312	6738
815	1313	6735
816	1315	6734
817	1317	6735
818	1319	6735
819	1320	6733
820	1322	6730
821	1323	6726
822	1324	6724
823	1326	6723
824	1328	6724
825	1330	6724
826	1332	6722
827	1333	6720
828	1335	6717
829	1336	6716
830	1338	6713
831	1339	6710
832	1340	6707
833	1342	6705
834	1344	6704
835	1345	6702
836	1347	6700
837	1348	6697
838	1349	6694
839	1351	6692
840	1353	6694
841	1355	6691
842	1356	6688
843	1357	6686
844	1359	6684
845	1360	6682
846	1362	6681
847	1363	6678
848	1365	6676
849	1366	6673
850	1368	6672
851	1370	6671
852	1371	6670
853	1373	6667
854	1374	6664
855	1376	6662
856	1377	6659
857	1378	6656
858	1380	6654
859	1381	6652
860	1383	6649
861	1384	6647
862	1386	6645
863	1387	6642
864	1388	6639
865	1390	6637
866	1392	6636
867	1393	6635
868	1395	6632
869	1396	6629
870	1397	6626
871	1399	6624
872	1400	6622
873	1402	6620
874	1403	6618
875	1405	6614
876	1406	6613
877	1408	6614
878	1410	6612
879	1412	6613
880	1414	6611
881	1415	6609
882	1417	6607
883	1418	6605
884	1420	6603
885	1421	6600
886	1423	6598
887	1424	6597
888	1426	6596
889	1427	6593
890	1429	6592
891	1431	6592
892	1434	6595
893	1435	6593
894	1436	6589
895	1438	6587
896	1439	6585
897	1441	6583
898	1442	6581
899	1444	6578
900	1445	6576
901	1446	6573
902	1448	6571
903	1449	6569
904	1451	6567
905	1452	6564
906	1454	6562
907	1455	6559
908	1457	6557
909	1458	6556
910	1460	6554
911	1461	6551
912	1462	6548
913	1465	6549
914	1466	6547
915	1468	6546
916	1469	6543
917	1471	6541
918	1472	6539
919	1474	6537
920	1475	6534
921	1476	6531
922	1478	6529
923	1479	6526
924	1481	6524
925	1482	6523
926	1484	6521
927	1485	6518
928	1487	6516
929	1488	6514
930	1490	6512
931	1491	6509
932	1492	6507
933	1494	6504
934	1495	6502
935	1497	6500
936	1498	6497
937	1500	6495
938	1501	6493
939	1502	6490
940	1504	6488
941	1505	6486
942	1507	6486
943	1508	6483
944	1510	6481
945	1511	6478
946	1513	6476
947	1514	6473
948	1516	6471
949	1518	6472
950	1519	6469
951	1520	6466
952	1522	6464
953	1524	6463
954	1525	6461
955	1527	6459
956	1528	6457
957	1530	6455
958	1531	6452
959	1532	6450
960	1534	6448
961	1535	6445
962	1536	6443
963	1539	6444
964	1540	6441
965	1541	6439
966	1543	6437
967	1545	6435
968	1546	6433
969	1548	6434
970	1549	6431
971	1551	6428
972	1552	6426
973	1554	6423
974	1555	6422
975	1556	6419
976	1558	6416
977	1559	6413
978	1561	6411
979	1562	6409
980	1564	6408
981	1565	6406
982	1567	6403
983	1568	6401
984	1569	6398
985	1571	6397
986	1572	6395
987	1574	6392
988	1575	6389
989	1576	6387
990	1578	6384
991	1579	6382
992	1581	6380
993	1583	6379
994	1584	6377
995	1585	6375
996	1588	6379
997	1590	6377
998	1591	6374
999	1592	6371
1000	1594	6369
1001	1595	6367
1002	1597	6365
1003	1598	6363
1004	1600	6361
1005	1602	6360
1006	1603	6358
1007	1605	6356
1008	1606	6354
1009	1607	6352
1010	1609	6349
1011	1610	6347
1012	1612	6345
1013	1613	6343
1014	1614	6340
1015	1616	6339
1016	1618	6337
1017	1619	6335
1018	1621	6333
1019	1622	6332
1020	1624	6330
1021	1625	6327
1022	1626	6324
1023	1628	6322
1024	1629	6319
1025	1631	6317
1026	1632	6315
1027	1633	6313
1028	1636	6314
1029	1637	6312
1030	1639	6311
1031	1641	6310
1032	1642	6308
1033	1644	6307
1034	1645	6305
1035	1647	6303
1036	1649	6302
1037	1650	6300
1038	1652	6298
1039	1654	6298
1040	1655	6296
1041	1657	6294
1042	1658	6293
1043	1660	6291
1044	1661	6288
1045	1663	6287
1046	1664	6284
1047	1666	6282
1048	1667	6280
1049	1668	6278
1050	1670	6276
1051	1671	6274
1052	1673	6271
1053	1674	6269
1054	1676	6268
1055	1678	6269
1056	1680	6268
1057	1681	6266
1058	1683	6264
1059	1684	6261
1060	1686	6260
1061	1687	6257
1062	1689	6255
1063	1690	6253
1064	1691	6251
1065	1693	6249
1066	1694	6246
1067	1695	6243
1068	1697	6242
1069	1699	6242
1070	1701	6242
1071	1703	6240
1072	1704	6237
1073	1705	6236
1074	1707	6234
1075	1709	6232
1076	1710	6230
1077	1712	6228
1078	1713	6226
1079	1714	6224
1080	1717	6225
1081	1718	6224
1082	1720	6223
1083	1722	6221
1084	1723	6219
1085	1725	6217
1086	1726	6215
1087	1728	6214
1088	1729	6212
1089	1731	6210
1090	1732	6209
1091	1734	6206
1092	1735	6205
1093	1737	6202
1094	1738	6200
1095	1740	6198
1096	1741	6196
1097	1743	6194
1098	1744	6192
1099	1746	6190
1100	1747	6188
1101	1748	6186
1102	1750	6184
1103	1752	6182
1104	1753	6181
1105	1755	6179
1106	1757	6180
1107	1758	6178
1108	1760	6176
1109	1761	6174
1110	1763	6174
1111	1765	6172
1112	1766	6169
1113	1769	6171
1114	1770	6169
1115	1772	6167
1116	1773	6165
1117	1774	6162
1118	1776	6160
1119	1777	6159
1120	1779	6156
1121	1780	6154
1122	1782	6152
1123	1783	6150
1124	1785	6149
1125	1786	6147
1126	1788	6145
1127	1789	6142
1128	1791	6141
1129	1792	6139
1130	1794	6140
1131	1796	6137
1132	1797	6135
1133	1799	6133
1134	1801	6133
1135	1802	6130
1136	1803	6128
1137	1805	6128
1138	1807	6127
